20161005	83016	83022	83022	83022	83022
20161005	83017	83022	83022	83022	83022
20161005	83018	83022	83022	83022	83022
20161005	83019	83022	83022	83022	83022
20161005	83020	83022	83022	83022	83022
20161005	83021	83022	83022	83022	83022
20161022	83231	83235	83235	83235	83235
20161023	83266	83271	83271	83271	83271
20161027	83368	83377	83377	83377	83377
20161028	83389	83404	83404	83404	83404
20161030	83444	83460	83460	83460	83460
20161102	83523	83522	83522	83522	83522
20161104	83558	83562	83562	83562	83562
20161119	83768	83773	83773	83773	83773
